,assignment_number,comments,skill,participant_id,batch,grade
11,525.0,"The core simulation tasks appear to be completed. There are at least 5 acting species (Shark, Piranha, Salmon, Sardine, Seaweed, Shivamfish) with predators and non-predators. Sharks and Piranhas compete for some shared prey. The species distinguish male and female individuals for breeding. Time of day is tracked and influences behaviors. However, the weather and disease extension tasks do not appear to be fully implemented. The GUI displays the simulation but does not visually distinguish between animal types.",Correctness,15,1,B
12,358.0,"All of the base tasks are completed - the simulation has at least 5 species (rabbits, foxes, plants, squirrels, nuts, vultures, mice). Males and females are distinguished, requiring them to meet to propagate. Time of day is tracked, with some creatures like rabbits and squirrels unable to move at night. However, a few details are missing - the original Fox and Rabbit classes were used rather than being replaced by different predator/prey species as specified. No challenge tasks like weather or disease simulation were attempted.",Correctness,15,1,B
13,137.0,"All core tasks are completed - there are at least 5 acting species (Lion, Leopard, Zebra, Camel, Antelope), with Lions and Leopards as predators competing for the same prey. The species distinguish males and females and require them to meet to propagate. Time of day is tracked, with some creatures exhibiting different behavior at night (Lions and Leopards sleep from 10pm-10am).

Multiple challenge tasks are also implemented, including disease spread, weather that impacts behavior, and a nicely formatted graphical view showing key stats. ",Correctness,15,1,A+
14,125.0,"The simulation appears to be working correctly based on the requirements. It includes at least 5 acting species (Lion, Hyena, Zebra, Hippo, Antelope), with Lions and Hyenas as predators competing for Zebras, and Zebras, Hippos, and Antelopes as non-predator species. The species distinguish males and females and can only breed when they meet. The time of day is tracked and impacts breeding behavior. Plants (grass) are also simulated and grow at different rates based on weather. Earthquakes and disease spread are implemented as challenge tasks. ",Correctness,15,1,A+
15,58.0,"It has at least 5 species (Zebra, Antelope, WildDog, Lion, Tiger), with predators like Lions and Tigers competing for prey like Antelopes. The species seem to distinguish males and females for breeding. Time of day is tracked to influence behaviors. However, Only some challenge tasks like adding plants is finished.",Correctness,15,1,B+
16,353.0,"The simulation includes at least 5 acting species (Hare, Wolf, Cow, Bear, Deer), with wolves and bears as predators and hares, cows, and deer as non-predators. Wolves and bears compete for some of the same food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with hares moving and feeding during the day but only giving birth at night.",Correctness,15,1,B+
17,422.0,"All core tasks are completed, with at least 5 acting species (Wolf, Sheep, Snake, Rhizomys, Elephant), including predators (Wolf, Snake) and non-predators (Sheep, Rhizomys, Elephant). The Wolf and Snake compete for Sheep and Rhizomys as shared food sources. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors likely differing between day and night. Challenge tasks like adding plants (Bamboo, Grass), weather, and disease are also implemented. ",Correctness,15,1,A+
18,480.0,"The core requirements are mostly implemented, with at least 5 species (Wolf, Rabbit, Bear, Tiger, Deer) including predators and non-predators. The provided rabbit was not replaced with other animals. Wolves and tigers compete for rabbits. The species distinguish males and females that must meet to breed. Time of day is tracked and influences animal behavior. None of the challenge tasks like adding plants, weather or disease appear to be attempted. ",Correctness,15,1,B-
19,334.0,"The application works as described in the assignment and all base and challenge tasks are completed. The simulation includes at least 5 acting species (Hyena, Mouse, Snake, Bat, Falcon), with at least 2 predators (Hyena, Snake, Falcon) and 2 non-predators (Mouse, Bat). The Hyena and Snake compete for Mice as a shared food source. The species distinguish males and females, requiring them to meet to propagate. Time of day is tracked, with some behaviors differing between day and night (e.g. sleeping at night). Plants (Flower, Grass) are simulated and grow at a given rate. Weather (Rain, Snow, Sun) changes and influences behaviors. Disease can spread between animals. ",Correctness,15,1,A++
0,18.0,"The code is broken out into many separate classes for each species and simulation component, enabling decent modularity and reuse. The logic could likely be simplified in places, but overall the design and efficiency are reasonable without overly sacrificing readability.",Code Elegance,15,1,A-
1,620.0,"The code makes excellent use of inheritance with base Animal, Predator, and Plant classes. Shared constants and methods are defined in parent classes. Each specific animal and plant type extends the base classes with their unique characteristics. This produces very clean, readable and maintainable code.",Code Elegance,15,1,A+
2,466.0,"The code is broken out into many separate classes for each species and simulation component, enabling decent modularity and reuse. The logic could likely be simplified in places, but overall the design and efficiency are reasonable without overly sacrificing readability.",Code Elegance,15,1,B
3,591.0,"The code follows good object-oriented design patterns, with a logical separation of concerns between classes. The base Animal class encapsulates shared functionality. The individual creature classes inherit from Animal and define their unique properties and behaviors. Constants are used effectively to avoid magic numbers. There are opportunities to further refactor some of the duplicated logic between creature classes.",Code Elegance,15,1,B+
4,587.0,"The code follows good object-oriented design patterns, with a logical separation of concerns between classes. The base Animal class encapsulates shared functionality. The individual creature classes inherit from Animal and define their unique properties and behaviors. Constants are used effectively to avoid magic numbers. There are opportunities to further refactor some of the duplicated logic between creature classes.",Code Elegance,15,1,B+
5,50.0,"The code follows good object-oriented design patterns, with a logical separation of concerns between classes. The base Animal class encapsulates shared functionality. The individual creature classes inherit from Animal and define their unique properties and behaviors. Constants are used effectively to avoid magic numbers. There are opportunities to further refactor some of the duplicated logic between creature classes.",Code Elegance,15,1,A
6,655.0,"The code demonstrates very good use of classes and inheritance to produce reusable and maintainable code. Abstract base classes like Animal, Predator and Prey allow for shared functionality. The code appears well organized into logical classes and methods.",Code Elegance,15,1,A
7,47.0,"The code demonstrates excellent use of classes and inheritance to enable code reuse. For example, the various animal classes extend an abstract Animal class. Functionality is broken out well into different classes and methods. The code looks quite efficient and readable.",Code Elegance,15,1,A
8,262.0,Your code structure is commendable. The use of inheritance and abstraction to define common behaviors across different species shows advanced programming skills. This approach not only avoids redundancy but also facilitates code maintenance and future expansions.,Code Elegance,15,1,A+
9,2.0,Your code structure is commendable. The use of inheritance and abstraction to define common behaviors across different species shows advanced programming skills. This approach not only avoids redundancy but also facilitates code maintenance and future expansions.,Code Elegance,15,1,A
10,400.0,"The code makes excellent use of classes, inheritance, and interfaces to create well-organized, reusable and maintainable code. Class responsibilities are clearly delineated. Abstractions like Animal, Disease, Weather allow shared behavior to be cleanly captured. The code is efficient and readable.",Code Elegance,15,1,A+
11,525.0,"The code follows good object-oriented design principles, with a clean separation of concerns between classes. Inheritance is used effectively for the animal classes. Methods are focused and not overly complex. Some code duplication exists that could potentially be refactored.",Code Elegance,15,1,A-
12,358.0,"The code demonstrates good use of classes and functions, producing fairly reusable and maintainable code. Inheritance is used effectively with base Animal class. The code is readable and understandable without being overly complex.",Code Elegance,15,1,A-
13,137.0,"The student demonstrates excellent use of classes, inheritance (abstract Animal class extended by Predator and Prey) and polymorphism to create a well-structured, extensible design. The code is broken into logical methods and avoids redundancy. Fields and methods have appropriate access modifiers. The act() methods delegate work to other methods with clear purposes like giveBirth(), findFood() etc. Smart optimizations are made, like caching free adjacent locations. ",Code Elegance,15,1,A+
14,125.0,"The code makes good use of inheritance with an abstract Animal class and specific subclasses for each species. Behavior is encapsulated within each class. Fields and methods have clear, descriptive names. The code is efficient, using collections effectively.",Code Elegance,15,1,A
15,58.0,"The code is broken out into separate classes for each animal type, which allows for specialization while inheriting shared behavior from the abstract Animal class. This enables code reuse. The logic for animal behaviors like eating, breeding, and aging is mostly encapsulated within each class.",Code Elegance,15,1,B+
16,353.0,The code makes good use of inheritance with an abstract Animal class. Behavior is encapsulated within each animal subclass. Fields and methods have clear purposes.,Code Elegance,15,1,B+
17,422.0,"The code demonstrates good use of classes and inheritance to represent the different species and their shared characteristics. The Animal and Plant abstract classes provide a clean separation of common functionality. The code is generally efficient and readable. A few areas could potentially be improved, such as reducing some repetition between similar classes, but overall the code is quite elegant.",Code Elegance,15,1,A
18,480.0,"The code is structured reasonably with separate classes for each species inheriting from an Animal superclass. However, there is a lot of duplicated code between species classes that could be refactored into the superclass to improve reusability. The code is readable but some design decisions are questionable, like having so many static constants.",Code Elegance,15,1,C+
19,334.0,"The student demonstrates excellent use of classes and inheritance to produce reusable and maintainable code. The Animal and HabitatFood abstract classes define shared functionality. Each species extends these appropriately (e.g. Mouse, Hyena, Flower). Methods are used effectively to encapsulate behaviors like eating, breeding, aging, and disease transmission. The code is efficient and readable.",Code Elegance,15,1,A+
0,18.0,"The code is exceptionally well documented. Each class and method has clear, detailed comments describing its purpose and parameters. In-line comments explain complex logic. Files contain header comments.",Documentation,15,1,A
1,620.0,"The code is exceptionally well documented. Each class and method has clear, detailed comments describing its purpose and parameters. In-line comments explain complex logic. Files contain header comments.",Documentation,15,1,A+
2,466.0,"The code is very well documented. Nearly every class, method and complex code block has clear, useful comments explaining the purpose and functionality. Header comments provide good high-level documentation for each file. Javadoc style is used effectively.",Documentation,15,1,B+
3,591.0,"The code is exceptionally well documented. Each class and method has clear, detailed comments describing its purpose and parameters. In-line comments explain complex logic. Files contain header comments.",Documentation,15,1,A-
4,587.0,"The code is exceptionally well documented. Each class and method has clear, detailed comments describing its purpose and parameters. In-line comments explain complex logic. Files contain header comments.",Documentation,15,1,A-
5,50.0,"Your documentation is thorough and well-organized, significantly aiding in the understanding of the code's functionality. Each class and method is accompanied by clear comments explaining its purpose, parameters, and return values. Including header information in every file further demonstrates your attention to professional coding standards.",Documentation,15,1,A+
6,655.0,"Most classes and methods have clear commenting explaining their purpose. Some methods and code blocks could use additional commenting, especially when performing complex operations. ",Documentation,15,1,A-
7,47.0,"Most classes, fields and methods have clear and useful documentation comments. The code itself is quite self-explanatory. Header comments are present. The documentation could be slightly more thorough in a few places, but overall it is quite good.",Documentation,15,1,A-
8,262.0,"The code is very well documented. Nearly every class, method and complex code block has clear, useful comments explaining the purpose and functionality. Header comments provide good high-level documentation for each file. ",Documentation,15,1,A+
9,2.0,"Your documentation is thorough and well-organized, significantly aiding in the understanding of the code's functionality. Each class and method is accompanied by clear comments explaining its purpose, parameters, and return values. Including header information in every file further demonstrates your attention to professional coding standards.",Documentation,15,1,A
10,400.0,Each class and method is clearly documented with its purpose and parameters. In-line comments explain complex logic. Files have header comments. Documentation is concise and useful without being overly verbose.,Documentation,15,1,A+
11,525.0,"Classes and methods have some comments explaining their purpose. Some important methods have descriptive comments. However, documentation is a bit inconsistent - some methods and logical blocks lack comments where they would be helpful to understand the code.",Documentation,15,1,B
12,358.0,"Most classes and functions have clear, useful comments explaining their purpose. A few more inline comments explaining complex logic would be helpful.",Documentation,15,1,B-
13,137.0,"Each class and method has clear, well-written documentation. Class documentation summarizes the overall purpose. Method docs clearly explain the parameters, return values and what the method does. Some key sections have inline comments explaining complex logic. The documentation is quite thorough and helpful for understanding the code.",Documentation,15,1,A
14,125.0,"Most classes and methods have clear, descriptive comments explaining their purpose. Some parameters and return values could use additional documentation. In-line comments are used effectively to explain complex logic. Class-level comments are present but could be more detailed in some cases.",Documentation,15,1,A-
15,58.0,There are class-level and method-level comments explaining the purpose of each class and method. Some key variables are also commented. This makes the overall structure and intent of the code much clearer.,Documentation,15,1,B+
16,353.0,"Most classes and methods have clear comments explaining their purpose. Some key methods like act() and breed() have detailed descriptions of the behavior. However, some comments are a bit sparse - adding a few more, especially for complex logic, would help code comprehension. Class-level and file-level comments could also be more detailed in places.",Documentation,15,1,A-
17,422.0,"Most classes and methods have some level of documentation, providing a basic overview of their purpose. However, the documentation is not always comprehensive - some parameters and return values lack descriptions, and some complex logic could use more in-depth explanations. ",Documentation,15,1,B+
18,480.0,Class and method comments are present but fairly minimal. They state the obvious in many cases rather than providing insights into the code. ,Documentation,15,1,B-
19,334.0,"The documentation is excellent. Each class and method has a clear, well-written comment explaining its purpose, parameters and return values. Key variables are documented. Header comments provide a class overview. The documentation allows the code to be easily understood and maintained.",Documentation,15,1,A+
0,160.0,The student used indentation appropriately and consistently to delineate code blocks,Readability,24,1,A+
1,473.0,"The code is clean, understandable and organised.",Readability,24,1,A+
2,624.0,The application has one or two issues that make the program difficult to understand such as poorly named identifiers and disorganised code.,Readability,24,1,C
3,311.0,The application has one or two issues that makes the program difficult to understand such as disorganised code,Readability,24,1,C-
4,105.0,The application has more than two issues that make the program difficult to understand.,Readability,24,1,D+
5,654.0,The application is well organised; the student used indentation appropriately and consistently to delineate code blocks.,Readability,24,1,A+
6,79.0,"There are missing method descriptions, plus some descriptions are copy-pasted and the animals are not changed.",Readability,24,1,A-
7,45.0,"The simulator contains Weather logic, ideally, Weather should contain its logic and be called by the simulator.",Readability,24,1,A+
8,51.0,"the code is clean, understandable and organised, however the code is incomplete",Readability,24,1,A-
9,523.0,Some variables are not descriptive.,Readability,24,1,A+
10,410.0,"The code is clean, understandable and organised; the student used meaningful identifier names.",Readability,24,1,A
11,490.0,The application has minor issues such as inconsistent indentation.,Readability,24,1,B-
12,124.0,"The code is clean, understandable and organised.",Readability,24,1,A
13,77.0,"The code is clean, understandable and organised.",Readability,24,1,A
14,252.0,The application is well organised; the student used indentation appropriately and consistently to delineate code blocks.,Readability,24,1,A+
15,236.0,"The code is clean, understandable and organised; the student used meaningful identifier names.",Readability,24,1,A-
16,549.0,"The code is clean, understandable and organised",Readability,24,1,A-
17,10.0,The application is exceptionally well-organised and very easy to understand;,Readability,24,1,A++
18,292.0,The application is exceptionally well-organised and very easy to understand.,Readability,24,1,A++
19,451.0,"The code is clean, understandable and organised; the student used meaningful identifier names.",Readability,24,1,A-
0,160.0,"The application works as described in the assignment, although some minor issues have been encountered in the application.",Correctness,24,1,A-
1,473.0,The application works as described in the assignment; all submission instructions were followed correctly.,Correctness,24,1,A+
2,624.0,Minor details of a rask are violated; the application functions correctly on the majority of actions.,Correctness,24,1,C
3,311.0,The application functions incorrectly on some inputs/actions.,Correctness,24,1,D
4,105.0,The application functions incorrectly on some inputs/actions.,Correctness,24,1,D
5,654.0,The application functions incorrectly on some inputs/actions.,Correctness,24,1,D-
6,79.0,"All tasks completed, however, weather could have been implemented using the enum class. ",Correctness,24,1,A+
7,45.0,"Challenge tasks are implemented, however basic tasks such as having plants are not implemented",Correctness,24,1,A
8,51.0,Significant details of task are violated,Correctness,24,1,F
9,523.0,"The application works as described, all tasks are completed and technical excellence. ",Correctness,24,1,A++
10,410.0,"All base tasks are completed and some of the challenging tasks are done, however, the simulator doesn't run correctly.",Correctness,24,1,A-
11,490.0,"There are minor errors in the code, and no challenge task was attempted.",Correctness,24,1,B-
12,124.0,There are minor errors in the application; all base tasks are completed; and challenges tasks are also completed.,Correctness,24,1,A-
13,77.0,"The application crashes until a certain point. All the base tasks were completed, challenge task was attempted.",Correctness,24,1,B+
14,252.0,The application works as described in the assignment; all base tasks are completed;,Correctness,24,1,A++
15,236.0,The file StatisticsView does not compile,Correctness,24,1,F
16,549.0,The application works as described in the assignment; all base tasks are completed; the student has completed some of the challenge tasks.,Correctness,24,1,A-
17,10.0,"The application compiles, but when running the simulator it doesn't work, looks like it crashes.",Correctness,24,1,F
18,292.0,The application works as described in the assignment; all base tasks are completed; all submission instructions were followed correctly.,Correctness,24,1,A++
19,451.0,Cannot open the project in BlueJ. Error: No Java source files were found in this directory,Correctness,24,1,F
0,160.0,The code is fairly efficient without sacrificing readability and understanding.,Code Elegance,24,1,B+
1,473.0,the code is efficient without sacrificing readability and understanding.,Code Elegance,24,1,A
2,624.0,some of the code is unnecessarily complex or poorly designed.,Code Elegance,24,1,C
3,311.0,The application is unnecessarily complex,Code Elegance,24,1,D
4,105.0,The application is unnecessarily complex,Code Elegance,24,1,D+
5,654.0,"The student demonstrate excellent use of classes and functions to produce reusable and maintainable code, the only downside would be decoupling the weather functionality from the simulator as a separate class.",Code Elegance,24,1,A+
6,79.0,"Some codes are repeated, such as the switch statement, which can nested in a private method in the parent class and inherited by the animals when breeding not to repeat the same code in different classes.",Code Elegance,24,1,A+
7,45.0,Some if-else statements are redundant and classes such as weather could be uncoupled from the simulator by creating a new Weather class.,Code Elegance,24,1,A
8,51.0,excellent use of classes and functions but the code is incomplete,Code Elegance,24,1,C+
9,523.0,"Excellent use of classes and functions, code is modular, reusable and maintainable.",Code Elegance,24,1,A++
10,410.0,All of the base tasks and some of the challenge tasks are implemented in such a way that code can be reused.,Code Elegance,24,1,A
11,490.0,The application is implemented in such a way that many code segments could be rewritten and some code is unnecessarily complex and poorly designed.,Code Elegance,24,1,C+
12,124.0,The application is implemented in such a way that only a few code segments could be rewritten to increase re-usability. Design concepts such as interface are not clear.,Code Elegance,24,1,B
13,77.0,The application is implemented in such a way that only a few code segments can be rewritten to increase code re-usability.,Code Elegance,24,1,B-
14,252.0,the student demonstrates excellent use of classes and functions.,Code Elegance,24,1,A+
15,236.0,The application is implemented in such a way that many code segments can be rewritten to increase code re-usability.,Code Elegance,24,1,C
16,549.0,"All the base tasks and some of the challenge tasks are implemented in such a way that code can be reused, where possible",Code Elegance,24,1,A-
17,10.0,The student demonstrates excellent use of classes and functions to produce reusable and maintainable code; the code is efficient without sacrificing readability and understanding.,Code Elegance,24,1,A+
18,292.0,"The student demonstrate excellent use of classes and functions to produce reusable and maintainable code, the only downside would be decoupling the weather functionality from the simulator as a separate class.",Code Elegance,24,1,A+
19,451.0,All of the base tasks and some of the challenge tasks are implemented in such a way that code can be reused.,Code Elegance,24,1,A
0,160.0,The documentation consists od comments that are some-what useful in understanding the code.,Documentation,24,1,B+
1,473.0,The documentation consists od comments that are some-what useful in understanding the code.,Documentation,24,1,A
2,624.0,The documentation consists of comments that are some-what useful in understanding the code.,Documentation,24,1,B-
3,311.0,The documentation is simply comments embedded in the code but does not help the reader understand the code.,Documentation,24,1,C-
4,105.0,The documentation is simply comments embedded in the code but does not help the reader understand the code.,Documentation,24,1,C
5,654.0,The comments are somewhat useful in understanding the code.,Documentation,24,1,B+
6,79.0,Meets all the objectives of the rubric.,Documentation,24,1,A++
7,45.0,Correct,Documentation,24,1,A++
8,51.0,"the comments are useful in understanding the code, however, the code is incomplete",Documentation,24,1,A-
9,523.0,Missing documentation which causes variables not to be clear.,Documentation,24,1,A
10,410.0,The documentation consists of comments that are useful in understanding the code/structure of the program.,Documentation,24,1,A-
11,490.0,The comments are somewhat useful in understanding the code.,Documentation,24,1,B
12,124.0,The documentation of comments is useful in understanding the code or structure of the program.,Documentation,24,1,A
13,77.0,The documentation consists of comments that are useful in understanding the code.,Documentation,24,1,A
14,252.0,The documentation is well-written and organised and clearly explains what the code is accomplishing and how.,Documentation,24,1,A++
15,236.0,"The code is clean, understandable and organised",Documentation,24,1,A
16,549.0,The documentation consists of comments that are useful in understanding the code and structure of the program,Documentation,24,1,A-
17,10.0,The documentation is well-written and organised and clearly explains what the code is accomplishing and how.,Documentation,24,1,A++
18,292.0,"The documentation is well-written, organised and clearly explains what the code is accomplishing and how",Documentation,24,1,A++
19,451.0,The comments are somewhat useful in understanding the code.,Documentation,24,1,B
0,217.0,The code is presented to a good standard with appropriate naming and use of access modifiers. Some lines of code are too long and there is some inconsistent use of indentation.,Readability,28,2,A
1,623.0,"The code is presented well with good naming conventions, formatting, and access modifiers.",Readability,28,2,A
2,315.0,The code is presented well with good naming conventions and formatting. Unfortunately some access modifiers are not appropriate with many methods being left public,Readability,28,2,B+
3,21.0,"The code is very well presented with good formatting, naming conventions, and use of access modifiers. Naming the animals as Destiny characters is interesting.",Readability,28,2,A++
4,212.0,"The code is presented well with good naming conventions and formatting. Access modifiers are used appropriately. However, some spacing and tabbing is used inconsistently",Readability,28,2,B+
5,550.0,"The code is formatted very well with good naming conventions and formatting. Access modifiers are used correctly and spacing, tabbing is generally good. Some lines of code are too long. ",Readability,28,2,A+
6,407.0,The code readability is very high with good formatting throughout. Good naming conventions and indenting is used and general ,Readability,28,2,A++
7,497.0,The code is presented incredibly well with good naming conventions and formatting. Correct access modifiers are used throughout,Readability,28,2,A++
8,271.0,"The code is presented to a high standard. The methods are structured well with good naming conventions, formatting and whitespace. Formatting is consistent throughout",Readability,28,2,A++
9,686.0,The code is presented well with good consistent naming conventions and formatting. Appropriate access modifiers are used throughout,Readability,28,2,A+
10,539.0,The code is presented cleanly with good naming conventions and formatting. Appropriate access modifiers are used throughout,Readability,28,2,A++
11,434.0,The student has submitted the original task code unmodified with no extensions,Readability,28,2,F
12,510.0,"The code is presented well overall with good naming conventions, formatting, and use of access modifiers. Some methods are left unimplemented with just signatures remaining which should be avoided.",Readability,28,2,A
13,74.0,The code is presented reasonably well overall with good naming conventions. Some of the formatting is inconsistent particularly with new-line and tabbing. Some methods should have a more limited access modifier,Readability,28,2,B+
14,183.0,The code is presented well with good naming conventions and formatting. Some lines of code are too long and as such overrun. ,Readability,28,2,A+
15,563.0,"The code is presented well with good consistent naming conventions and overall good formatting. Again, lengthy methods makes the readability of the code more challenging than it should be",Readability,28,2,A
16,286.0,"The code is presented well throughout with good naming conventions, formatting, and use of whitespace. Appropriate access modifiers are used throughout. ",Readability,28,2,A++
